1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,x
1,27.58,2.04,1,0,0,6,4,2,1,1,3,1,0,1,0,370,561,1
1,39.25,9.5,0,1,0,7,4,6.5,1,1,14,0,0,1,0,240,4608,1
1,39.92,0.54,1,0,0,6,4,0.5,1,1,3,0,0,1,0,200,1001,1
1,44,2,0,1,0,7,4,1.75,1,1,2,1,0,1,0,0,16,1
0,20.08,0.125,0,1,0,11,4,1,0,1,1,0,0,1,0,240,769,1
1,22.92,3.165,1,0,0,8,4,0.165,0,0,0,0,0,1,0,160,1059,0
1,37.5,0.835,0,1,0,10,4,0.04,0,0,0,0,0,1,0,120,6,0
1,30.17,1.085,1,0,0,8,4,0.04,0,0,0,0,0,1,0,170,180,0
1,39.5,4.25,0,1,0,8,5,6.5,1,1,16,0,0,1,0,117,1211,1
0,21.75,1.75,1,0,0,5,3,0,0,0,0,0,0,1,0,160,1,0
1,42.75,3,0,1,0,3,5,1,1,0,0,0,0,1,0,0,201,0
1,35.25,3.165,0,1,0,14,8,3.75,1,0,0,1,0,1,0,680,1,0
1,29.67,1.415,0,1,0,9,8,0.75,1,1,1,0,0,1,0,240,101,1
1,59.67,1.54,0,1,0,11,4,0.125,1,0,0,1,0,1,0,260,1,1
1,32.42,3,0,1,0,2,4,0.165,0,0,0,1,0,1,0,120,1,0
1,21.17,0.875,1,0,0,8,8,0.25,0,0,0,0,0,1,0,280,205,0
1,54.58,9.415,0,1,0,1,1,14.415,1,1,11,1,0,1,0,30,301,1
0,17.92,0.54,0,1,0,8,4,1.75,0,1,1,1,0,1,0,80,6,0
1,29.83,2.04,1,0,0,14,8,0.04,0,0,0,0,0,1,0,128,2,0
1,34.75,15,0,1,0,12,7,5.375,1,1,9,1,0,1,0,0,135,1
0,45.33,1,0,1,0,11,4,0.125,0,0,0,1,0,1,0,263,1,0
1,19.33,10.915,0,1,0,8,5,0.585,0,1,2,1,0,1,0,200,8,0
1,24.17,0.875,0,1,0,11,4,4.625,1,1,2,1,0,1,0,520,2001,1
1,48.75,8.5,0,1,0,8,8,12.5,1,1,9,0,0,1,0,181,1656,1
0,20.75,10.335,0,1,0,13,8,0.335,1,1,1,1,0,1,0,80,51,1
0,29.5,2,1,0,0,10,8,2,0,0,0,0,0,1,0,256,18,0
0,18.08,0.375,0,0,1,13,1,10,0,0,0,1,1,0,0,300,1,1
1,19.17,4,1,0,0,3,4,1,0,0,0,1,0,1,0,360,1001,0
1,24.5,13.335,1,0,0,6,4,0.04,0,0,0,1,0,1,0,120,476,0
1,56.42,28,1,0,0,8,4,28.5,1,1,40,0,0,1,0,0,16,1
1,39.08,6,0,1,0,7,4,1.29,1,1,5,1,0,1,0,108,1098,1
1,33.75,2.75,0,1,0,3,5,0,0,0,0,0,0,1,0,180,1,0
1,37.17,4,0,1,0,8,5,5,1,0,0,1,1,0,0,280,1,0
0,25,12.33,0,1,0,13,8,3.5,1,1,6,0,0,1,0,400,459,1
1,41.17,1.25,1,0,0,9,4,0.25,0,0,0,0,0,1,0,0,196,0
1,54.33,6.75,0,1,0,8,8,2.625,1,1,11,1,0,1,0,0,285,1
1,17.08,0.085,1,0,0,8,4,0.04,0,0,0,0,0,1,0,140,723,0
1,43.17,2.25,0,1,0,3,5,0.75,1,0,0,0,0,1,0,560,1,0
1,34.92,5,0,1,0,14,8,7.5,1,1,6,1,0,1,0,0,1001,1
1,63.33,0.54,0,1,0,8,4,0.585,1,1,3,1,0,1,0,180,1,0
1,59.5,2.75,0,1,0,9,4,1.75,1,1,5,1,0,1,0,60,59,1
0,44.33,0,0,1,0,8,4,2.5,1,0,0,0,0,1,0,0,1,1
1,26.75,1.125,0,1,0,14,8,1.25,1,0,0,0,0,1,0,0,5299,1
1,30.58,2.71,1,0,0,7,4,0.125,0,0,0,1,1,0,0,80,1,0
0,16.5,1.25,0,1,0,11,4,0.25,0,1,1,0,0,1,0,108,99,0
1,21.25,1.5,0,1,0,9,4,1.5,0,0,0,0,0,1,0,150,9,1
0,27.17,1.25,0,1,0,1,1,0,0,1,1,0,0,1,0,92,301,0
1,20.5,10,1,0,0,8,4,2.5,1,0,0,0,1,0,0,40,1,1
0,28.58,3.75,0,1,0,8,4,0.25,0,1,1,1,0,1,0,40,155,0
0,25,11,1,0,0,6,4,4.5,1,0,0,0,0,1,0,120,1,0
0,27.67,1.5,0,1,0,7,4,2,1,0,0,0,1,0,0,368,1,0
1,32.67,5.5,0,1,0,11,8,5.5,1,1,12,1,0,1,0,408,1001,1
1,23.58,0.835,0,1,0,3,8,0.085,0,0,0,1,0,1,0,220,6,0
1,24.75,0.54,0,1,0,7,4,1,0,0,0,1,0,1,0,120,2,0
1,27.83,1.54,0,1,0,9,4,3.75,1,1,5,1,0,1,0,100,4,1
0,25,0.875,0,1,0,14,8,1.04,1,0,0,1,0,1,0,160,5861,1
1,43.25,3,0,1,0,11,8,6,1,1,11,0,0,1,0,80,1,1
0,19.17,5.415,0,1,0,3,8,0.29,0,0,0,0,0,1,0,80,485,0
1,37.33,6.5,0,1,0,7,8,4.25,1,1,12,1,0,1,0,93,1,1
0,31.57,1.5,0,1,0,1,1,0,0,1,2,1,0,1,0,200,106,0
1,33.17,1,0,1,0,14,4,0.75,1,1,7,1,0,1,0,340,4072,1
1,29.92,1.835,0,1,0,8,8,4.335,1,0,0,0,0,1,0,260,201,1
1,23.08,2.5,0,1,0,8,4,1.085,1,1,11,1,0,1,0,60,2185,1
0,64.08,0.165,0,1,0,1,1,0,1,1,1,0,0,1,0,232,101,1
1,33.67,1.25,0,1,0,9,4,1.165,0,0,0,0,0,1,0,120,1,0
