1,2,3,4,5,6,7,8,9,10,11,12,x
15,0,0,0,0,1,400,150,3761,10,1971,6,1
19.1,0,0,0,1,0,225,90,3381,19,1981,9,1
31.8,0,1,0,0,0,85,65,2020,19,1980,8,0
24,0,0,0,1,0,200,81,3012,18,1977,11,1
15.5,0,0,0,0,1,351,142,4054,14,1980,11,1
14,0,0,0,0,1,351,148,4657,14,1976,11,1
29.9,0,1,0,0,0,98,65,2380,21,1982,11,1
16,0,0,0,1,0,250,100,3278,18,1974,6,1
14,0,0,0,0,1,302,140,4638,16,1975,11,1
22,0,1,0,0,0,122,86,2395,16,1973,11,1
29,0,1,0,0,0,97,78,1940,15,1978,29,0
13,0,0,0,0,1,400,150,4464,12,1974,6,1
33.5,0,1,0,0,0,98,83,2075,16,1978,9,1
46.6,0,1,0,0,0,86,65,2110,18,1981,14,0
21.1,0,1,0,0,0,134,95,2515,15,1979,26,0
35,0,1,0,0,0,72,69,1613,18,1972,8,0
27.2,0,1,0,0,0,119,97,2300,15,1979,8,0
13,0,0,0,0,1,350,175,4100,13,1974,3,1
11,0,0,0,0,1,400,150,4997,14,1974,6,1
12,0,0,0,0,1,400,167,4906,13,1974,11,1
43.4,0,1,0,0,0,90,48,2335,24,1981,29,0
30,0,1,0,0,0,88,76,2065,15,1972,10,0
24.5,0,1,0,0,0,151,88,2740,16,1978,22,1
21,0,0,0,1,0,231,110,3039,15,1976,3,1
34.4,0,1,0,0,0,98,65,2045,16,1982,11,1
13,0,0,0,0,1,360,170,4654,13,1974,21,1
15,0,0,0,0,1,350,145,4440,14,1976,6,1
13,0,0,0,0,1,302,129,3169,12,1976,11,1
23,0,1,0,0,0,120,88,2957,17,1976,20,0
28,0,1,0,0,0,107,86,2464,16,1977,10,0
17.5,0,0,0,0,1,318,140,4080,14,1979,9,1
23,0,0,0,1,0,198,95,2904,16,1974,21,1
38,0,1,0,0,0,105,63,2125,15,1983,21,1
31,0,1,0,0,0,112,85,2575,16,1983,22,1
31.5,0,1,0,0,0,98,68,2045,19,1978,13,0
19.8,0,0,0,1,0,200,85,2990,18,1980,16,1
18,0,0,0,0,1,318,150,3436,11,1971,21,1
18,0,0,0,1,0,250,105,3459,16,1976,6,1
13,0,0,0,0,1,318,150,3940,13,1977,21,1
27.2,0,1,0,0,0,135,84,2490,16,1982,21,1
26,0,1,0,0,0,116,75,2246,14,1975,10,0
21,0,1,0,0,0,140,72,2401,20,1974,6,1
30,0,1,0,0,0,79,70,2074,20,1972,20,0
22,0,0,0,1,0,225,100,3233,15,1977,21,1
28.8,0,0,0,1,0,173,115,2595,11,1980,6,1
31,0,1,0,0,0,76,52,1649,17,1975,26,0
16,0,0,0,0,1,318,150,4498,15,1976,21,1
44,0,1,0,0,0,97,52,2130,25,1983,29,0
35.7,0,1,0,0,0,98,80,1915,14,1980,9,1
24,0,1,0,0,0,90,75,2108,16,1975,10,0
32.8,0,1,0,0,0,78,52,1985,19,1979,14,0
16,0,0,0,1,0,258,110,3632,18,1975,0,1
25,0,1,0,0,0,140,92,2572,15,1977,5,1
31,0,1,0,0,0,79,67,2000,16,1975,10,0
36,0,1,0,0,0,135,84,2370,13,1983,9,1
27.4,0,1,0,0,0,121,80,2670,15,1980,0,1
19.4,0,0,0,1,0,232,90,3210,17,1979,0,1
44.6,0,1,0,0,0,91,67,1850,14,1981,13,0
15.5,0,0,0,0,1,318,145,4140,14,1978,9,1
23.7,1,0,0,0,0,70,100,2420,13,1981,14,0
13,0,0,0,0,1,350,155,4502,14,1973,3,1
12,0,0,0,0,1,383,180,4955,12,1972,9,1
19,0,1,0,0,0,120,88,3270,22,1977,20,0
19,0,0,0,1,0,225,95,3264,16,1976,21,1
30,0,1,0,0,0,98,68,2155,17,1979,6,1
19.2,0,0,0,1,0,231,105,3535,19,1979,22,1
32.3,0,1,0,0,0,97,67,2065,18,1982,25,0
24,0,1,0,0,0,140,92,2865,16,1983,11,1
15,0,0,0,0,1,318,150,3777,13,1974,9,1
26.4,0,1,0,0,0,140,88,2870,18,1981,11,1
38,0,1,0,0,0,91,67,1965,15,1983,13,0
24,0,1,0,0,0,120,97,2489,15,1975,13,0
34.5,0,1,0,0,0,105,70,2150,15,1980,21,1
10,0,0,0,0,1,307,200,4376,15,1971,6,1
19,0,0,0,1,0,250,100,3282,15,1972,22,1
30.5,0,1,0,0,0,97,78,2190,14,1978,29,0
21,0,0,0,1,0,155,107,2472,14,1974,16,1
36,0,1,0,0,0,105,74,1980,15,1983,29,0
