1,2,3,4,5,6,7,8,9,x
1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0,0.07,0
1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0,0,0
1.52152,13.12,3.58,0.9,72.2,0.23,9.82,0,0.16,0
1.52222,14.43,0,1,72.67,0.1,11.52,0,0.08,1
1.52739,11.02,0,0.75,73.08,0,14.96,0,0,1
1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0,0.29,1
1.51779,13.64,3.65,0.65,73,0.06,8.93,0,0,0
1.51846,13.41,3.89,1.33,72.38,0.51,8.28,0,0,1
1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0,0,0
1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0,0,1
1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0,0
1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0,0,1
1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0,0,1
1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0,0,1
1.51824,12.87,3.48,1.29,72.95,0.6,8.43,0,0,0
1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0,0.14,0
1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,1
1.51709,13,3.47,1.79,72.72,0.66,8.18,0,0,1
1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0,0,0
1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0,0,1
1.52614,13.7,0,1.36,71.24,0.19,13.44,0,0.1,1
1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0,0.1,1
1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0,0.12,1
1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0,0,0
1.51966,14.77,3.75,0.29,72.02,0.03,9,0,0,0
1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0,0,0
1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0,0.1,1
1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0,0,1
1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0,0.17,0
1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0,0,0
1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0,0,0
1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0,0,0
