1,2,3,4,5,6,7,8,9,x
1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0,0,0
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0,0,0
1.5174299999999998,13.3,3.6,1.14,73.09,0.58,8.17,0,0,0
1.51755,13,3.6,1.36,72.99,0.57,8.4,0,0.11,0
1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0,0.24,0
1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0,0,0
1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0,0.24,0
1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0,0,0
1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0,0.19,0
1.51966,14.77,3.75,0.29,72.02,0.03,9,0,0,0
1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0,0,0
1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0,0,0
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0,0,0
1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0,0,0
1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,0
1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0,0,0
1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0,0,0
1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0,0,0
1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0,0,0
1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0,0,0
1.5221,13.73,3.84,0.72,71.76,0.17,9.74,0,0,0
1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0,0.1,0
1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0,0,0
1.51926,13.2,3.33,1.28,72.36,0.6,9.14,0,0.11,0
1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0,0,0
1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0,0,0
1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0,0.31,0
1.51824,12.87,3.48,1.29,72.95,0.6,8.43,0,0,0
1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0,0.11,0
1.51905,13.6,3.62,1.11,72.64,0.14,8.76,0,0,0
1.5217200000000002,13.51,3.86,0.88,71.79,0.23,9.54,0,0.11,0
1.52227,14.17,3.81,0.78,71.35,0,9.69,0,0,0
1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0,0.17,0
1.5230000000000001,13.31,3.58,0.82,71.99,0.12,10.17,0,0.03,0
1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0,0.12,1
1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0,0,1
1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0,0,1
1.5159200000000002,12.86,3.52,2.12,72.66,0.69,7.97,0,0,1
1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0,0,1
1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0,0.09,1
1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0,0,1
1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0,0,1
1.51618,13.01,3.5,1.48,72.89,0.6,8.12,0,0,1
1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0,0.09,1
1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0,0.22,1
1.51605,12.9,3.44,1.45,73.06,0.44,8.27,0,0,1
1.5186,13.36,3.43,1.43,72.26,0.51,8.6,0,0,1
1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0,0.15,1
1.5174299999999998,12.2,3.25,1.16,73.55,0.62,8.9,0,0.24,1
1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0,0,1
1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0,0.2,1
1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0,0,1
1.52475,11.45,0,1.88,72.19,0.81,13.24,0,0.34,1
1.53125,10.73,0,2.1,69.81,0.58,13.3,3.15,0.28,1
1.52222,14.43,0,1,72.67,0.1,11.52,0,0.08,1
1.51818,13.72,0,0.56,74.45,0,10.99,0,0,1
1.52664,11.23,0,0.77,73.21,0,14.68,0,0,1
1.52777,12.64,0,0.67,72.02,0.06,14.4,0,0,1
1.51847,13.1,3.97,1.19,72.44,0.6,8.43,0,0,1
1.51846,13.41,3.89,1.33,72.38,0.51,8.28,0,0,1
1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0,0.1,1
1.5168700000000002,13.23,3.54,1.48,72.84,0.56,8.1,0,0,1
1.52177,13.2,3.68,1.15,72.75,0.54,8.52,0,0,1
1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0,0.17,1
1.5202,13.98,1.35,1.63,71.76,0.39,10.56,0,0.18,1
1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0,0,1
1.518,13.71,3.93,1.54,71.81,0.54,8.21,0,0.15,1
1.51806,13,3.8,1.08,73.07,0.56,8.38,0,0.12,1
1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0,0,1
1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0,0,1
1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,1
1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0,0.24,1
1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0,0.35,1
1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0,0,0
1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0,0.1,0
1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0,0.17,0
1.52127,14.32,3.9,0.83,71.5,0,9.49,0,0,0
1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0,0,0
1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0,0,0
1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0,0.09,0
1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0,0.37,0
1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0,0
1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0,0,0
1.51666,12.86,0,1.83,73.88,0.97,10.17,0,0,0
1.51994,13.27,0,1.76,73.03,0.47,11.32,0,0,0
1.51316,13.02,0,3.04,70.48,6.21,6.96,0,0,0
1.51321,13,0,3.02,70.7,6.21,6.93,0,0,0
1.52043,13.38,0,1.4,72.25,0.33,12.5,0,0,0
1.5205799999999998,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,0
1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0,0.28,0
1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0,0,0
1.51602,14.85,0,2.38,73.28,0,8.76,0.64,0.09,0
1.51623,14.2,0,2.79,73.46,0.04,9.04,0.4,0.09,0
1.51683,14.56,0,1.98,73.29,0,8.52,1.57,0.07,0
1.51531,14.38,0,2.66,73.1,0.04,9.08,0.64,0,0
1.5165799999999998,14.8,0,1.99,73.11,0,8.28,1.71,0,0
1.51617,14.95,0,2.27,73.3,0,8.71,0.67,0,0
1.5164,14.37,0,2.74,72.85,0,9.45,0.54,0,0
1.51623,14.14,0,2.88,72.61,0.08,9.18,1.06,0,0
1.51685,14.92,0,1.99,73.06,0,8.4,1.59,0,0
1.52065,14.36,0,2.02,73.42,0,8.44,1.64,0,0
1.51711,14.23,0,2.08,73.36,0,8.62,1.67,0,0
