1,2,3,4,5,6,7,x
4,1,1.44,2.01,2.96,1.27,4.05,0
5,0,2.48,4.61,4.16,2.16,6,0
6,1,0.84,2.39,2.76,0.87,4.17,0
7,1,0.37,1.37,1.08,0.85,3.45,0
11,0,0.69,1.46,1.07,0.64,1.95,1
12,1,1.42,2.79,1.42,1.08,1.22,1
14,1,0.76,1.24,0.7,0.67,0.94,1
15,0,1.13,2.28,0.97,1.66,2.21,0
47,1,0.78,1.45,0.38,0.58,0.67,0
49,0,0.52,0.79,0.42,0.47,0.53,0
50,1,2.73,2.09,2.24,4.02,2.52,0
51,1,0.9,2.45,0.52,1.32,2.18,0
52,0,1.62,2.54,0.94,1.59,1.73,0
54,0,0.63,1.31,0.76,0.71,1.28,0
57,1,0.3,0.69,1.03,0.22,1.88,0
58,0,0.88,1.32,1.87,0.58,2.97,0
59,1,0.76,1.25,1.85,1.36,2.17,0
60,0,1.25,1,2.04,0.71,2.22,0
62,0,1.11,0.8,1.46,1.48,0.4,0
65,0,0.39,0.44,0.49,0.55,0.51,1
96,0,1.22,2,2.13,1.13,2.33,1
98,1,0.49,1.07,0.36,0.87,0.57,1
101,1,0.73,1.51,0.18,1.42,0.71,0
102,0,1.79,3.13,1.83,1.82,3.11,0
103,1,0.19,1.05,0.08,0.4,0.57,0
109,0,0.05,0.06,0.01,0.23,0.1,0
110,1,0.04,0.2,0.35,0.75,0.2,0
112,1,2.24,2.17,4.44,1.05,3.59,0
113,0,2.5,3.99,2.84,2.44,4.48,0
114,1,1.1,1.71,2.05,1.3,4.04,0
116,1,1.41,2.99,2.58,1.21,3.95,0
118,0,1.09,3.56,0.07,2.26,2.08,0
122,0,0.76,1.83,1.5,0.41,2.56,0
123,0,1.53,3.62,1.52,1.62,2.86,1
126,0,1.59,3.19,2.36,1.53,3.03,1
127,1,1.91,4.74,1.71,2.03,3.24,1
129,1,1.59,3.92,1.38,2.11,3.01,0
132,0,0.46,1.08,0.01,0.65,0.48,0
171,1,0.12,0.6,0.19,0.28,0.7,0
172,0,0.37,0.65,0.31,0.23,0.83,0
174,1,0.57,1.53,0.3,0.72,1.38,0
175,0,0.13,0.54,0.11,0.14,0.58,0
177,1,1.01,2.32,1.14,0.81,2.09,0
178,0,0.55,1.13,1.3,0.34,2.45,0
180,1,2.36,1.15,1.84,1.73,2.33,0
181,0,2.35,4.29,4.24,1.67,5.48,0
182,1,2.23,4.3,1.99,1.9,3.67,0
183,1,1.16,3.06,2.44,1.52,4.01,0
186,1,6,6.15,9.42,3.6,7.84,0
187,0,2.67,6.93,2.74,3.03,6.39,1
188,1,0.36,0.15,0,0.19,0.06,1
190,1,1.36,3.43,1.38,1.86,2.91,1
191,0,1.17,1.65,1.22,2.28,1.58,1
192,1,2.37,1.94,2.46,2.47,2.39,1
